intaglio_depth,security_thread_visible,watermark_clarity,color_shift_ink,microprint_score,uv_fluorescence,serial_number_font,denomination,label
0.110874,0.072597,0.118326,0.01396,0.0589,0.864384,0.017762,200,0
0.182119,0.132805,0.219933,0.086948,0.17388,0.787346,0.052881,2000,1
0.157069,0.157745,0.014592,0.098257,0.220032,0.847627,0.058006,2000,0
0.159087,0.206574,0.146801,0.019716,0.100046,0.748305,0.023575,500,1
0.246496,0.239272,0.068962,0.004887,0.016589,0.757786,0.006017,500,0
0.073371,0.138733,0.119456,0.025336,0.06836,0.834106,0.016594,10,0
0.100498,0.16052,0.175935,0.084123,0.122802,0.817842,0.038744,200,0
0.141143,0.174464,0.052476,0.039869,0.08646,0.845411,0.014087,2000,0
0.157924,0.141299,0.125361,0.024081,0.078279,0.805895,0.016534,500,1
0.134223,0.145866,0.137099,0.006104,0.03486,0.849929,0.012446,20,0
0.133334,0.119229,0.146164,0.101827,0.110844,0.833539,0.047489,200,1
0.122456,0.192432,0.097201,0.060583,0.143192,0.790599,0.028598,200,0
0.25702,0.216136,0.192836,0.036935,0.137617,0.7643,0.038847,20,0
0.09479,0.098758,0.11438,0.015288,0.080956,0.887418,0.026976,10,0
0.094102,0.112791,0.077881,0.076981,0.086315,0.891668,0.036495,20,1
0.08263,0.112483,0.132455,0.002108,0.056077,0.867595,0.015404,500,1
0.145211,0.111407,0.144153,0.017152,0.03197,0.799421,0.015603,100,1
0.11821,0.090735,0.130632,0.05528,0.078684,0.879817,0.029202,200,0
0.174958,0.208606,0.017372,0.005702,0.023863,0.831774,0.003243,10,0
0.170611,0.145681,0.110855,0.014244,0.079743,0.79848,0.014708,200,0
0.08182,0.0899,0.094299,0.012149,0.057024,0.87755,0.015447,10,0
0.177805,0.235381,0.131484,0.031449,0.089406,0.77695,0.01605,100,0
0.151716,0.172901,0.184717,0.018416,0.085961,0.724486,0.031538,100,1
0.124341,0.113118,0.083653,0.079188,0.139623,0.876887,0.039411,10,0
0.129649,0.142546,0.132283,0.008583,0.072834,0.861873,0.017807,20,0
0.111777,0.121913,0.217172,0.022606,0.031592,0.827203,0.004469,500,1
0.206957,0.240592,0.347988,0.090726,0.157879,0.692989,0.030229,20,1
0.11177,0.110593,0.105198,0.015476,0.060322,0.893575,0.018518,50,0
0.141438,0.15214,0.144359,0.099498,0.198682,0.830772,0.043102,2000,0
0.126548,0.151908,0.12464,0.06835,0.18369,0.79458,0.046998,10,1
0.105576,0.154748,0.11517,0.033929,0.11863,0.820025,0.02445,50,0
0.119366,0.10913,0.115466,0.106224,0.131137,0.865641,0.059472,10,1
0.161034,0.130086,0.094614,0.019563,0.01599,0.869667,0.007533,500,0
0.152799,0.119382,0.140624,0.090495,0.177228,0.82127,0.061255,2000,1
0.140166,0.190888,0.065819,6.9e-05,0.134264,0.86416,0.015899,50,0
0.173167,0.206772,0.078824,0.015951,0.077482,0.80106,0.007733,500,1
0.136174,0.108353,0.075697,0.040018,0.09444,0.900437,0.01585,50,0
0.133844,0.154439,0.162991,0.021318,0.135266,0.80745,0.03046,2000,0
0.166144,0.181933,0.161442,0.03913,0.11779,0.813467,0.007953,20,0
0.116837,0.135513,0.028297,0.007136,0.068845,0.840973,0.027327,20,0
0.17628,0.270602,0.156011,0.024119,0.124182,0.737899,0.029827,10,0
0.157504,0.138713,0.100053,0.016454,0.113396,0.861649,0.037362,200,0
0.140756,0.147186,0.242451,0.103485,0.264032,0.772619,0.062944,500,1
0.182442,0.225144,0.124771,0.051099,0.118644,0.82033,0.014491,10,0
0.143596,0.134846,0.163207,0.123815,0.231037,0.85599,0.04761,20,1
0.096346,0.130725,0.13517,0.106137,0.125412,0.832753,0.026017,100,0
0.121582,0.12697,0.015875,0.013722,0.026814,0.877229,0.01166,20,0
0.126818,0.169576,0.118887,0.064883,0.124009,0.840286,0.02294,20,0
0.167022,0.180436,0.141086,0.032748,0.089528,0.8295,0.016552,50,0
0.114404,0.142713,0.229196,0.109673,0.266401,0.777369,0.063543,10,1
0.159178,0.199301,0.102143,0.065377,0.142047,0.847776,0.03741,20,0
0.154094,0.207028,0.130085,0.051609,0.131122,0.800113,0.029873,20,0
0.205662,0.1611,0.218193,0.012051,0.06969,0.780411,0.022521,2000,0
0.173059,0.209559,0.150993,0.014291,0.063336,0.806514,0.01161,20,0
0.088626,0.103673,0.166262,0.068862,0.116528,0.833216,0.016966,10,0
0.178178,0.208666,0.095361,0.037261,0.065012,0.809059,0.00983,20,0
0.160919,0.173796,0.261255,0.060688,0.130678,0.735119,0.033763,2000,1
0.122107,0.1675,0.105536,0.090788,0.124933,0.821179,0.036089,100,0
0.182486,0.176819,0.109294,0.10891,0.216857,0.816345,0.051611,500,1
0.242105,0.232526,0.197956,0.026148,0.080782,0.734867,0.023933,10,0
0.118849,0.158007,0.097448,0.076366,0.128403,0.739093,0.028119,200,0
0.196317,0.205987,0.382436,0.132283,0.241073,0.693431,0.04294,500,1
0.15801,0.240087,0.204097,0.011243,0.192851,0.784252,0.004938,50,0
0.138017,0.185839,0.113031,0.006867,0.099362,0.836227,0.026988,20,0
0.194221,0.203335,0.203919,0.037627,0.113874,0.777556,0.022622,100,0
0.075914,0.086736,0.094504,0.049255,0.096964,0.898763,0.027583,100,0
0.126283,0.143887,0.202259,0.05685,0.090831,0.835865,0.017331,500,1
0.09955,0.098691,0.133647,0.033462,0.083368,0.833801,0.015852,20,0
0.147731,0.246924,0.216521,0.023025,0.020294,0.751235,0.00329,20,0
0.170091,0.204894,0.35877,0.083174,0.156947,0.673624,0.024252,100,1
0.104345,0.110293,0.076956,0.0244,0.103228,0.890604,0.022336,50,0
0.186822,0.217974,0.016946,0.027787,0.133671,0.72552,0.023489,20,0
0.120125,0.111783,0.073327,0.022045,0.064318,0.858386,0.019109,50,0
0.17839,0.219155,0.103492,0.085358,0.145762,0.819168,0.031588,10,0
0.170029,0.220334,0.313892,0.060094,0.171995,0.701617,0.034929,20,1
0.144299,0.144704,0.025741,0.018759,0.022974,0.905612,0.004622,10,0
0.130299,0.114197,0.206797,0.025102,0.118665,0.804654,0.038548,50,0
0.089923,0.083717,0.087904,0.042916,0.047328,0.857116,0.015237,10,0
0.108417,0.105048,0.128468,0.018183,0.012243,0.88132,0.002384,50,0
0.143265,0.17531,0.212183,0.017161,0.060017,0.832978,0.020815,50,0
0.207467,0.265873,0.204467,0.073877,0.165994,0.767543,0.015095,500,0
0.11857,0.110727,0.103122,0.094622,0.13534,0.868244,0.011089,100,0
0.123406,0.118669,0.106236,0.052726,0.097562,0.865946,0.018255,500,0
0.138192,0.15507,0.169629,0.021933,0.063177,0.78898,0.005796,500,1
0.159021,0.155536,0.211659,0.10087,0.155753,0.805064,0.040168,500,0
0.145464,0.200755,0.278502,0.073517,0.183488,0.741912,0.033709,500,1
0.120415,0.155745,0.104183,0.06559,0.036518,0.72887,0.009963,200,1
0.229935,0.273113,0.035198,0.050573,0.155024,0.797043,0.041111,10,0
0.095804,0.13344,0.157075,0.043141,0.084548,0.794075,0.015161,500,1
0.144292,0.159692,0.140506,0.145036,0.317731,0.793865,0.091734,10,1
0.140782,0.178504,0.152096,0.047629,0.08986,0.832036,0.028483,200,1
0.171569,0.194331,0.043728,0.041604,0.099016,0.803095,0.015357,10,0
0.171862,0.215713,0.35006,0.062532,0.160078,0.679543,0.026045,200,1
0.078433,0.231348,0.097966,0.014992,0.022015,0.777113,0.005647,20,0
0.139032,0.159194,0.20861,0.024223,0.125033,0.801516,0.028343,100,1
0.102642,0.111825,0.031809,0.036325,0.086875,0.894299,0.025973,20,0
0.125864,0.140889,0.116484,0.11119,0.111112,0.854148,0.047647,10,1
